"time","surv","model"
0,1,"Median OS"
1,0.977159968434246,"Median OS"
2,0.954841603910417,"Median OS"
3,0.933032991536807,"Median OS"
4,0.911722488558217,"Median OS"
5,0.890898718140339,"Median OS"
6,0.870550563296124,"Median OS"
7,0.850667160950856,"Median OS"
8,0.831237896142788,"Median OS"
9,0.812252396356236,"Median OS"
10,0.7937005259841,"Median OS"
11,0.775572380916867,"Median OS"
12,0.757858283255199,"Median OS"
13,0.740548776143282,"Median OS"
14,0.723634618720189,"Median OS"
15,0.707106781186548,"Median OS"
16,0.690956439983888,"Median OS"
17,0.675174973084095,"Median OS"
18,0.659753955386447,"Median OS"
19,0.64468515421979,"Median OS"
20,0.629960524947437,"Median OS"
21,0.615572206672458,"Median OS"
22,0.601512518041058,"Median OS"
23,0.587773953141804,"Median OS"
24,0.574349177498518,"Median OS"
25,0.561231024154687,"Median OS"
26,0.548412489847313,"Median OS"
27,0.535886731268147,"Median OS"
28,0.523647061410313,"Median OS"
29,0.511686945998387,"Median OS"
30,0.5,"Median OS"
31,0.488579984217123,"Median OS"
32,0.477420801955208,"Median OS"
33,0.466516495768404,"Median OS"
34,0.455861244279108,"Median OS"
35,0.44544935907017,"Median OS"
36,0.435275281648062,"Median OS"
37,0.425333580475428,"Median OS"
38,0.415618948071394,"Median OS"
39,0.406126198178118,"Median OS"
40,0.39685026299205,"Median OS"
41,0.387786190458434,"Median OS"
42,0.3789291416276,"Median OS"
43,0.370274388071641,"Median OS"
44,0.361817309360095,"Median OS"
45,0.353553390593274,"Median OS"
46,0.345478219991944,"Median OS"
47,0.337587486542048,"Median OS"
48,0.329876977693224,"Median OS"
49,0.322342577109895,"Median OS"
50,0.314980262473718,"Median OS"
51,0.307786103336229,"Median OS"
52,0.300756259020529,"Median OS"
53,0.293886976570902,"Median OS"
54,0.287174588749259,"Median OS"
55,0.280615512077343,"Median OS"
56,0.274206244923656,"Median OS"
57,0.267943365634073,"Median OS"
58,0.261823530705157,"Median OS"
59,0.255843472999194,"Median OS"
60,0.25,"Median OS"
61,0.244289992108562,"Median OS"
62,0.238710400977604,"Median OS"
63,0.233258247884202,"Median OS"
64,0.227930622139554,"Median OS"
65,0.222724679535085,"Median OS"
66,0.217637640824031,"Median OS"
67,0.212666790237714,"Median OS"
68,0.207809474035697,"Median OS"
69,0.203063099089059,"Median OS"
70,0.198425131496025,"Median OS"
71,0.193893095229217,"Median OS"
72,0.1894645708138,"Median OS"
73,0.185137194035821,"Median OS"
74,0.180908654680047,"Median OS"
75,0.176776695296637,"Median OS"
76,0.172739109995972,"Median OS"
77,0.168793743271024,"Median OS"
78,0.164938488846612,"Median OS"
79,0.161171288554947,"Median OS"
80,0.157490131236859,"Median OS"
81,0.153893051668115,"Median OS"
82,0.150378129510265,"Median OS"
83,0.146943488285451,"Median OS"
84,0.143587294374629,"Median OS"
85,0.140307756038672,"Median OS"
86,0.137103122461828,"Median OS"
87,0.133971682817037,"Median OS"
88,0.130911765352578,"Median OS"
89,0.127921736499597,"Median OS"
90,0.125,"Median OS"
91,0.122144996054281,"Median OS"
92,0.119355200488802,"Median OS"
93,0.116629123942101,"Median OS"
94,0.113965311069777,"Median OS"
95,0.111362339767542,"Median OS"
96,0.108818820412016,"Median OS"
97,0.106333395118857,"Median OS"
98,0.103904737017848,"Median OS"
99,0.101531549544529,"Median OS"
100,0.0992125657480125,"Median OS"
101,0.0969465476146084,"Median OS"
102,0.0947322854068999,"Median OS"
103,0.0925685970179103,"Median OS"
104,0.0904543273400236,"Median OS"
105,0.0883883476483184,"Median OS"
106,0.086369554997986,"Median OS"
107,0.0843968716355119,"Median OS"
108,0.0824692444233059,"Median OS"
109,0.0805856442774737,"Median OS"
