Event,prob_comparator,N_comparator,prob_intervention,N_intervention,cost,disutility,LCI_disutility,UCI_disutility,SE_disutility
Fatigue,0.0029,529,0.0029,529,11517,-0.0629,-0.06919,-0.05661,-0.00629
Dry mouth,0,529,0,529,3095,-0.059,-0.0649,-0.0531,-0.0059
Nausea,0.0006,529,0.0006,529,8026,-0.04554,-0.05009,-0.040986,-0.004554
Anemia,0.0066,529,0.0066,529,22496,-0.045,-0.0495,-0.0405,-0.0045
Back pain,0.0016,529,0.0016,529,28893,-0.026,-0.0286,-0.0234,-0.0026
Arthralgia,0.0006,529,0.0006,529,6927,-0.026,-0.0286,-0.0234,-0.0026
Decreased appetite,0.0009,529,0.0009,529,9848,-0.046,-0.0506,-0.0414,-0.0046
Constipation,0.0006,529,0.0006,529,7112,0,0,0,0
Diarrhea,0.0004,529,0.0004,529,8227,-0.051,-0.0561,-0.0459,-0.0051
Vomiting,0.0005,529,0.0005,529,8552,-0.029,-0.0319,-0.0261,-0.0029
Thrombocytopenia,0.004,529,0.004,529,26889,-0.034,-0.0374,-0.0306,-0.0034
Lymphopenia,0.0039,529,0.0039,529,4590,-0.027,-0.0297,-0.0243,-0.0027
Leukopenia,0.0012,529,0.0012,529,19999,-0.00188,-0.00207,-0.001692,-0.000188
Renal effects,0.0038,529,0.0038,529,2513,-0.11,-0.121,-0.099,-0.011
